Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,GAP medio,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Paladas totales,Swolf medio,Velocidad media de palada,Pasos,Repeticiones totales,Series totales,Descarga de Body Battery,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Ritmo respiratorio medio,Ritmo mínimo de respiración,Ritmo máximo de respiración,Cambio en estrés,Inicio del periodo de estrés,Fin del periodo de estrés,Estrés medio,Estrés máximo,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Natación en aguas abiertas,2026-02-14 07:02:52,false,"Coihueco Natación en aguas abiertas","700","103","00:28:00","76","115","0.3","--","--","4:00","1:20","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","110","64","11","--","--","--","-2","23.0","No","00:08:30.5","2","24.0","--","--","--","--","--","--","--","--","00:21:22","00:28:00","--","--"
Carrera,2026-02-12 20:18:06,false,"Chillán Carrera","3.87","330","00:25:26","137","162","2.5","154","173","6:34","5:00","226","246","0.99","8.8","8.6","280","5:52","--","--","471","0.0","--","357","811","--","--","--","3,954","--","--","-4","--","No","00:00:57.2","8","--","--","--","--","--","--","--","--","--","00:23:56","00:25:26","104","148"
Entreno de fuerza,2026-02-12 06:47:18,false,"Fuerza","0.00","128","00:31:12","83","114","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","124","62","13","-2","--","No","00:31:12","1","--","--","--","--","--","--","--","--","--","00:09:29.8","00:31:12","--","--"
Entreno de fuerza,2026-02-11 20:18:17,false,"Fuerza","0.00","222","00:40:19","94","138","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","228","114","16","-4","--","No","00:40:19","1","--","--","--","--","--","--","--","--","--","00:11:14","00:40:21","--","--"
Ciclismo en sala,2026-02-10 20:24:29,false,"Ciclismo en sala","23.96","491","01:09:41","113","125","2.1","--","--","20.6","29.9","--","--","--","--","--","--","--","75","95","99","19.0","99","92","187","4975","--","--","--","--","--","-7","--","No","00:10:42","5","--","26","17","32","--","--","--","--","--","01:07:20","01:09:41","--","--"
Multideporte,2026-02-08 07:52:33,false,"Entrenamiento - Triatlon FR  Conce - 1km nado, 60 km bici, 12 km trote","77.62","2,295","04:06:20","--","161","4.4","--","--","18.9","--","670","509","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","No","--:--:--","5","--","--","--","--","--","--","--","--","--","--:--:--","04:07:12","-129","76"
Carrera,2026-02-07 07:42:21,false,"Chillán Carrera","3.15","250","00:22:05","123","133","2.0","166","173","7:01","6:02","45","36","0.86","9.4","8.1","286","6:53","--","--","312","0.0","--","300","463","--","--","--","3,670","--","--","-4","--","No","00:00:57.5","4","--","29","20","35","--","--","--","--","--","00:21:50","00:22:05","119","143"
Entreno de fuerza,2026-02-06 08:35:55,false,"Fuerza","0.00","155","00:38:26","84","117","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","216","108","24","-4","--","No","00:38:26","1","--","--","--","--","--","--","--","--","--","00:16:16","00:38:26","--","--"
Ciclismo en sala,2026-02-05 15:28:41,false,"Ciclismo en sala","25.31","511","01:11:12","125","135","2.2","--","--","21.3","29.8","--","--","--","--","--","--","--","78","96","98","19.1","104","94","164","5513","--","--","--","--","--","-9","--","No","00:00:49.6","6","--","28","21","33","--","--","--","--","--","01:11:10","01:11:12","--","--"
Ciclismo en sala,2026-02-03 12:03:14,false,"Ciclismo en sala","24.45","551","01:00:06","121","132","2.6","--","--","24.4","34.2","--","--","--","--","--","--","--","77","110","132","29.3","139","127","287","4639","--","--","--","--","--","-11","--","No","00:11:36","5","--","28","19","35","--","--","--","--","--","01:00:05","01:00:06","--","--"
Entreno de fuerza,2026-02-02 20:37:27,false,"Fuerza","0.00","197","00:41:15","90","133","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","106","53","11","-3","--","No","00:41:15","1","--","--","--","--","--","--","--","--","--","00:06:24.1","00:41:15","--","--"
Ciclismo en sala,2026-02-01 11:44:52,false,"Ciclismo en sala","60.91","1,275","02:26:01","125","135","3.2","--","--","25.0","29.2","--","--","--","--","--","--","--","74","87","123","61.3","131","120","184","10653","--","--","--","--","--","-25","--","No","00:02:26.4","13","--","28","18","35","--","--","--","--","--","02:25:08","02:26:03","--","--"
Carrera,2026-01-31 07:14:29,false,"Chillán Carrera","10.01","781","01:06:31","124","134","2.8","166","178","6:39","4:39","76","83","0.91","9.1","8.3","284","6:37","--","--","310","0.0","--","304","494","--","--","--","11,004","--","--","-11","--","No","00:00:04.3","11","--","--","--","--","--","--","--","--","--","01:06:28","01:06:37","116","142"
Carrera,2026-01-30 21:20:40,false,"Chillán Carrera","2.02","157","00:17:32","120","134","0.9","156","173","8:41","5:41","25","37","0.73","10.3","7.4","301","8:37","--","--","251","0.0","--","237","413","--","--","--","2,798","--","--","-1","--","No","00:00:08.1","3","--","--","--","--","--","--","--","--","--","00:17:23","00:17:44","121","137"
Entreno de fuerza,2026-01-30 08:16:07,false,"Fuerza","0.00","124","00:33:18","81","118","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","236","118","14","-3","--","No","00:33:18","1","--","--","--","--","--","--","--","--","--","00:05:45.4","00:33:18","--","--"
Ciclismo en sala,2026-01-29 10:20:48,false,"Ciclismo en sala","23.90","470","01:00:21","125","133","2.1","--","--","23.8","29.9","--","--","--","--","--","--","--","76","91","106","18.8","107","104","185","4576","--","--","--","--","--","-9","--","No","00:09:30.7","5","--","27","20","33","--","--","--","--","--","01:00:20","01:00:21","--","--"
Natación en aguas abiertas,2026-01-29 07:25:36,false,"Coihueco Natación en aguas abiertas","1,466","474","00:42:43","127","157","2.4","--","--","2:55","1:09","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","1019","61","24","--","--","--","-10","24.0","No","00:13:35","3","26.0","--","--","--","--","--","--","--","--","00:41:49","00:56:15","--","--"
Carrera,2026-01-28 08:16:07,false,"Chillán Carrera","5.01","392","00:37:53","126","132","2.0","162","170","7:34","6:05","56","53","0.82","9.8","8.0","295","7:29","--","--","287","0.0","--","278","412","--","--","--","6,136","--","--","-5","--","No","00:00:04.0","6","--","31","21","41","--","--","--","--","--","00:37:51","00:37:53","129","147"
Entreno de fuerza,2026-01-28 06:14:35,false,"Fuerza","0.00","285","01:07:22","86","130","0.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","390","195","21","-6","--","No","01:07:22","1","--","--","--","--","--","--","--","--","--","00:22:29","01:07:22","--","--"
Ciclismo en sala,2026-01-27 12:03:45,false,"Ciclismo en sala","23.70","519","01:00:05","124","132","2.4","--","--","23.7","33.7","--","--","--","--","--","--","--","74","96","122","24.8","122","118","189","4431","--","--","--","--","--","-10","--","No","00:09:21.4","5","--","28","15","36","--","--","--","--","--","00:59:55","01:00:05","--","--"
Entreno de fuerza,2026-01-26 16:52:00,false,"Fuerza","0.00","499","01:17:58","105","139","0.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","426","213","30","-10","--","No","01:17:58","1","--","--","--","--","--","--","--","--","--","00:24:56","01:17:58","--","--"
Ciclismo en sala,2026-01-25 09:01:11,false,"Fondo ciclismo ","80.53","1,723","03:00:00","125","138","3.8","--","--","26.8","30.1","--","--","--","--","--","--","--","75","87","135","91.4","140","134","189","13379","--","--","--","--","--","-31","--","No","00:08:42.7","16","--","28","19","37","--","--","--","--","--","02:59:44","03:00:01","--","--"
Carrera,2026-01-24 07:14:19,false,"Chillán Carrera","10.02","753","01:00:33","129","139","3.0","168","174","6:03","4:33","56","60","0.98","8.7","8.5","275","6:02","--","--","334","0.0","--","330","539","--","--","--","10,172","--","--","-17","--","No","00:00:05.2","11","--","--","--","--","--","--","--","--","--","01:00:30","01:00:33","116","141"
Entrenamiento en cinta,2026-01-23 10:38:38,false,"Entrenamiento en cinta","4.60","419","00:30:07","149","175","3.2","163","182","6:33","3:25","--","--","0.93","9.6","8.2","284","--","--","--","370","0.0","--","303","583","--","--","--","4,920","--","--","-8","--","No","00:03:04.8","5","--","--","--","--","--","--","--","--","--","00:29:29","00:30:07","--","--"
Entreno de fuerza,2026-01-23 09:54:49,false,"Fuerza","0.00","264","00:42:21","102","150","0.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","324","162","20","-7","--","No","00:42:21","1","--","--","--","--","--","--","--","--","--","00:13:19","00:42:21","--","--"
Ciclismo en sala,2026-01-22 08:21:27,false,"Ciclismo en sala","26.76","623","01:00:03","129","140","2.7","--","--","26.7","37.4","--","--","--","--","--","--","--","68","99","149","37.1","151","147","202","4085","--","--","--","--","--","-17","--","No","00:03:52.8","6","--","27","18","34","--","--","--","--","--","00:59:52","01:09:49","--","--"
Carrera,2026-01-21 20:08:16,false,"Chillán Carrera","10.01","799","01:06:12","133","153","3.0","163","173","6:37","4:04","95","102","0.93","9.1","8.4","283","6:35","--","--","328","0.0","--","316","520","--","--","--","10,798","--","--","-13","--","No","00:00:03.5","11","--","--","--","--","--","--","--","--","--","01:05:28","01:06:14","114","134"
Entreno de fuerza,2026-01-21 07:34:50,false,"Fuerza","0.00","509","02:49:00","77","124","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","192","96","10","-15","--","No","02:49:00","1","--","--","--","--","--","--","--","--","--","00:08:33.3","02:49:41","--","--"
Entreno de fuerza,2026-01-19 08:14:41,false,"Fuerza","0.00","257","01:04:54","84","123","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","68","34","22","-4","--","No","01:04:54","1","--","--","--","--","--","--","--","--","--","00:14:59","01:04:54","--","--"
Ciclismo,2026-01-18 08:07:36,false,"Chillán a Minas del Prado - Ciclismo","90.02","1,782","03:15:27","145","176","4.8","--","--","27.6","64.4","717","714","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-37","--","No","00:00:02.7","19","--","34","15","51","--","--","--","--","--","03:04:50","03:18:07","128","589"
Natación en aguas abiertas,2026-01-17 07:47:05,false,"Coihueco Natación en aguas abiertas","1,084","316","00:27:26","125","154","2.3","--","--","2:32","1:40","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","735","55","26","--","--","--","-7","19.0","No","00:01:57.3","3","25.0","--","--","--","--","--","--","--","--","00:27:07","00:42:59","--","--"
Entreno de fuerza,2026-01-16 15:40:49,false,"Fuerza","0.00","333","01:13:10","90","125","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","522","261","24","-7","--","No","01:13:10","1","--","--","--","--","--","--","--","--","--","00:32:48","01:13:10","--","--"
Carrera,2026-01-15 09:29:59,false,"Chillán Carrera","5.01","407","00:30:25","140","161","2.9","167","227","6:04","2:18","63","46","0.98","8.7","8.4","274","5:59","--","--","363","0.0","--","345","877","--","--","--","5,084","--","--","-8","--","No","00:00:04.2","6","--","34","23","44","--","--","--","--","--","00:30:22","00:30:25","127","156"
Entreno de fuerza,2026-01-14 17:36:15,false,"Fuerza","0.00","177","00:31:02","95","165","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","320","160","15","-3","--","No","00:31:02","1","--","--","--","--","--","--","--","--","--","00:08:22.5","00:31:02","--","--"
Natación en aguas abiertas,2026-01-13 20:24:12,false,"Coihueco Natación en aguas abiertas","1,307","481","00:36:39","137","159","3.0","--","--","2:48","1:30","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","917","60","25","--","--","--","-6","26.0","No","00:08:21.2","3","27.0","--","--","--","--","--","--","--","--","00:35:10","00:38:09","--","--"
Carrera,2026-01-13 09:20:51,false,"Chillán Carrera","5.01","403","00:31:20","134","148","2.7","164","172","6:15","5:16","35","35","0.97","8.7","8.5","278","6:14","--","--","332","0.0","--","324","444","--","--","--","5,174","--","--","-9","--","No","00:00:04.6","6","--","32","16","41","--","--","--","--","--","00:31:13","00:31:20","134","149"
Entreno de fuerza,2026-01-12 13:22:58,false,"Fuerza","0.00","295","00:58:00","94","133","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","192","96","16","-6","--","No","00:58:00","1","--","--","--","--","--","--","--","--","--","00:38:25","00:58:00","--","--"
Ciclismo,2026-01-11 08:08:21,false,"Chillán Ciclismo","37.39","726","01:12:45","141","174","3.4","--","--","30.8","45.7","244","98","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-11","--","No","00:06:12.9","8","--","--","--","--","--","--","--","--","--","01:12:14","01:12:45","119","279"
Entrenamiento en cinta,2026-01-10 10:38:45,false,"Entrenamiento en cinta","5.07","367","00:30:03","135","169","2.7","162","177","5:55","3:25","--","--","1.03","9.2","8.7","281","--","--","--","397","0.0","--","333","577","--","--","--","4,868","--","--","-9","--","No","00:00:17.9","6","--","34","19","45","--","--","--","--","--","00:30:01","00:30:03","--","--"
Entreno de fuerza,2026-01-09 06:22:56,false,"Fuerza","0.00","289","00:44:12","105","150","1.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","446","223","11","-5","--","No","00:44:12","1","--","--","--","--","--","--","--","--","--","00:07:25.1","00:44:12","--","--"
Entreno de fuerza,2026-01-07 16:27:41,false,"Fuerza","0.00","366","01:01:15","103","144","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","388","194","19","-3","--","No","01:01:15","1","--","--","--","--","--","--","--","--","--","00:14:02","01:01:15","--","--"
Natación en aguas abiertas,2026-01-07 14:44:46,false,"Coihueco Natación en aguas abiertas","1,137","407","00:25:56","158","172","3.2","--","--","2:17","0:40","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","730","50","28","--","--","--","-7","27.0","No","00:03:08.3","3","30.0","--","--","--","--","--","--","--","--","00:25:40","00:35:37","--","--"
Carrera,2026-01-06 20:05:44,false,"Chillán Carrera","8.02","653","00:52:42","135","152","2.9","162","179","6:34","4:30","43","46","0.94","9.0","8.4","282","6:33","--","--","315","0.0","--","307","486","--","--","--","8,564","--","--","-9","--","No","00:00:03.9","9","--","--","--","--","--","--","--","--","--","00:51:44","00:52:42","119","132"
Entreno de fuerza,2026-01-05 07:50:35,false,"Fuerza","0.00","598","02:03:16","93","148","1.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","326","163","20","-14","--","No","02:03:16","1","--","--","--","--","--","--","--","--","--","00:21:17","02:03:16","--","--"
Carrera,2026-01-04 18:05:41,false,"Chillán Carrera","5.11","461","00:40:06","134","162","2.7","134","171","7:51","5:29","69","83","0.95","8.9","8.2","283","7:47","--","--","309","0.0","--","256","457","--","--","--","5,470","--","--","-7","--","No","00:02:45.8","6","--","32","20","40","--","--","--","--","--","00:35:11","00:40:07","116","146"
Carrera,2026-01-03 07:48:49,false,"Coihueco Carrera","6.01","514","00:36:20","146","159","3.1","167","175","6:03","5:03","115","78","0.99","8.7","8.6","276","5:58","--","--","349","0.0","--","343","494","--","--","--","6,078","--","--","-7","--","No","00:00:03.1","7","--","--","--","--","--","--","--","--","--","00:36:19","00:36:20","254","316"
Natación en aguas abiertas,2026-01-03 06:57:11,false,"Coihueco Natación en aguas abiertas","1,200","429","00:34:36","129","141","2.5","--","--","2:53","1:36","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","803","60","23","--","--","--","-7","25.0","No","00:06:01.7","3","26.0","--","--","--","--","--","--","--","--","00:33:47","00:34:36","--","--"
Entrenamiento en cinta,2025-12-31 12:40:31,false,"Entrenamiento en cinta","4.60","363","00:25:52","142","164","2.8","159","227","5:37","3:27","--","--","1.15","8.5","9.2","273","--","--","--","400","0.0","--","351","580","--","--","--","4,124","--","--","-8","--","No","00:03:00.3","5","--","--","--","--","--","--","--","--","--","00:24:40","00:25:52","--","--"
Entreno de fuerza,2025-12-31 11:51:31,false,"Fuerza","0.00","248","00:46:00","94","119","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","98","49","13","-6","--","No","00:46:00","1","--","--","--","--","--","--","--","--","--","00:14:13","00:46:00","--","--"
Entreno de fuerza,2025-12-29 16:03:51,false,"Fuerza","0.00","403","01:02:47","104","146","1.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","522","261","14","-10","--","No","01:02:47","1","--","--","--","--","--","--","--","--","--","00:15:05","01:02:47","--","--"
Entreno de fuerza,2025-12-28 09:21:47,false,"Fuerza","0.00","264","00:43:15","98","151","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","236","118","17","-6","--","No","00:43:15","1","--","--","--","--","--","--","--","--","--","00:17:10","00:43:16","--","--"
Entreno de fuerza,2025-12-26 09:01:18,false,"Fuerza","0.00","216","00:43:50","90","131","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","278","139","13","-3","--","No","00:43:50","1","--","--","--","--","--","--","--","--","--","00:10:25","00:43:50","--","--"
Ciclismo,2025-12-25 19:41:31,false,"Chillán Ciclismo","16.79","343","00:57:45","107","141","1.2","--","--","17.4","41.1","78","86","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-2","--","No","00:05:43.1","4","--","--","--","--","--","--","--","--","--","00:49:09","00:57:46","130","150"
Carrera,2025-12-25 08:50:43,false,"Coihueco Carrera","5.70","432","00:27:59","149","162","3.4","176","188","4:54","4:06","75","71","1.14","7.5","8.6","248","4:52","--","--","425","0.0","--","415","572","--","--","--","4,932","--","--","-6","--","No","00:03:22.3","6","--","--","--","--","--","--","--","--","--","00:27:56","00:27:59","261","313"
Natación en aguas abiertas,2025-12-25 07:44:11,false,"Coihueco Natación en aguas abiertas","1,340","432","00:35:47","128","145","2.3","--","--","2:40","1:35","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","898","57","25","--","--","--","-7","23.0","No","00:09:30.1","3","23.0","--","--","--","--","--","--","--","--","00:35:18","00:46:07","--","--"
Entreno de fuerza,2025-12-23 08:49:37,false,"Fuerza","0.00","309","01:07:39","88","151","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","638","319","31","-9","--","No","01:07:39","1","--","--","--","--","--","--","--","--","--","00:28:24","01:07:41","--","--"
Multideporte,2025-12-21 08:00:28,false,"San Pedro de La Paz Multideporte","72.86","2,144","03:27:53","--","164","4.4","--","--","21.0","--","287","277","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","No","--:--:--","5","--","--","--","--","--","--","--","--","--","--:--:--","03:27:53","6","43"
Caminar,2025-12-19 12:08:14,false,"Chillán Caminar","0.10","76","00:11:33","100","147","0.4","35","219","--","10:27","4","7","0.24","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","580","--","--","-1","--","No","00:11:33","1","--","--","--","--","--","--","--","--","--","00:01:13","00:11:33","131","148"
Natación en aguas abiertas,2025-12-19 06:17:21,false,"Natación en aguas abiertas","1,100","342","00:30:55","125","141","2.2","--","--","2:49","2:42","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","752","59","24","--","--","--","-4","23.0","No","00:02:56.9","3","24.0","--","--","--","--","--","--","--","--","00:30:04","00:32:34","--","--"
Ciclismo en sala,2025-12-18 19:00:50,false,"Ciclismo en sala","0.00","622","00:51:47","154","174","4.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-8","--","No","00:51:47","1","--","--","--","--","--","--","--","--","--","00:00:00","00:51:47","--","--"
Entreno de fuerza,2025-12-18 17:50:18,false,"Fuerza","0.00","469","01:09:43","110","163","2.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","604","302","17","-4","--","No","01:09:43","1","--","--","--","--","--","--","--","--","--","00:37:20","01:09:43","--","--"
Ciclismo,2025-12-17 20:02:48,false,"Chillán Ciclismo","6.39","193","00:20:22","130","155","2.1","--","--","18.8","38.4","13","46","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-2","--","No","00:05:38.8","2","--","--","--","--","--","--","--","--","--","00:19:02","00:20:22","107","143"
Natación en aguas abiertas,2025-12-17 06:46:56,false,"Coihueco Natación en aguas abiertas","1,728","517","00:46:10","128","160","2.6","--","--","2:40","1:22","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","965","54","23","--","--","--","-9","23.0","No","00:04:49.2","4","23.0","--","--","--","--","--","--","--","--","00:42:51","00:51:13","--","--"
Carrera,2025-12-16 08:56:55,false,"Chillán Carrera","10.02","796","00:55:19","147","163","3.8","170","194","5:31","2:55","98","80","1.06","8.1","8.6","262","5:27","--","--","379","0.0","--","368","582","--","--","--","9,404","--","--","-18","--","No","00:00:06.0","11","--","--","--","--","--","--","--","--","--","00:55:02","00:57:53","117","144"
Entreno de fuerza,2025-12-15 05:49:40,false,"Fuerza","0.00","90","00:23:50","82","135","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","420","210","9","-3","--","No","00:23:50","1","--","--","--","--","--","--","--","--","--","00:07:53.7","00:23:50","--","--"
Natación en aguas abiertas,2025-12-13 07:17:14,false,"Coihueco Natación en aguas abiertas","4,002","1,195","01:47:51","136","151","3.4","--","--","2:42","1:28","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","2739","58","25","--","--","--","-25","22.0","No","00:00:02.3","9","25.0","--","--","--","--","--","--","--","--","01:45:03","01:49:55","--","--"
Ciclismo,2025-12-08 08:32:39,false,"Chillán Ciclismo","80.75","1,713","03:22:34","136","169","4.0","--","--","23.9","66.8","612","599","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-35","--","No","00:01:47.5","17","--","--","--","--","--","--","--","--","--","03:02:47","03:22:44","12","143"
Carrera,2025-12-06 09:58:37,false,"Chillán Carrera","8.51","664","00:45:12","150","177","4.1","170","209","5:19","2:40","102","93","1.10","8.0","8.8","262","5:16","--","--","410","0.0","--","389","907","--","--","--","7,688","--","--","-13","--","No","00:02:45.4","9","--","--","--","--","--","--","--","--","--","00:45:03","00:48:32","122","167"
Natación en aguas abiertas,2025-12-06 07:49:26,false,"Coihueco Natación en aguas abiertas","1,356","457","00:37:00","134","149","2.9","--","--","2:44","1:48","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","864","57","24","--","--","--","-10","22.0","No","00:09:52.8","3","25.0","--","--","--","--","--","--","--","--","00:35:50","00:37:28","--","--"
Multideporte,2025-11-30 09:55:57,false,"Ironman Valdivia 70.3","114.20","3,665","06:19:02","--","165","5.0","--","--","18.0","--","928","917","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","No","--:--:--","5","--","--","--","--","--","--","--","--","--","--:--:--","06:19:02","-13","41"
Natación en piscina,2025-11-26 12:18:37,false,"Natación en piscina","1,000","489","00:43:21","135","172","3.1","--","--","2:10","1:56","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","535","61","25","--","--","--","--","--","No","00:00:08.7","24","--","--","--","--","--","--","--","--","--","00:21:42","00:43:28","--","--"
